record_id,catalog,control_number,control_number_identifier,ldr06_record_type,ldr07_bib_level,ldr17_encoding_level,ldr18_description_form,ldr19_multipart_level,agency_040a,cataloging_lang_040b,convention_040e,date_type_008,year1_008,year2_008,place_008,lang_008,draw_axis,draw_domain,draw_year,query,has_773,has_490,has_490_traced,has_830,has_800_810_811,has_440,has_245_n_or_p,has_246,has_505,has_505_t,has_740,has_730,has_130_or_240,has_880,has_020,has_300_c,datafield_tags
lc|:6587936,lc,6587936,,a,m,1, ,,DLC,,,s,1965,    ,xx,eng,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 042 050 082 100 245 250 260 300 336 337 338 500 504 650 700 906 955 985 991
lc|:7531640,lc,7531640,,a,m,u, ,,DLC,,,s,1965,    ,xx,heb,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 050 100 245 260 300 336 337 338 500 650 906 955 991
lc|:9406962,lc,9406962,,a,m,1, ,,DLC,,,s,1965,    ,cau,eng,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 041 042 050 082 100 245 250 260 300 336 337 338 650 906 955 985 991
lc|:6611234,lc,6611234,,a,m,1, ,,DLC,,,s,1965,    ,gw,ger,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,010 015 035 040 042 050 100 245 250 260 300 336 337 338 500 504 650 740 906 955 985 991
lc|:1224140,lc,1224140,,a,m, , ,,DLC,,,s,1965,    ,nyu,eng,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,010 035 040 050 082 100 245 260 300 336 337 338 504 505 650 906 955 991
lc|:8929523,lc,8929523,,a,m,1, ,,DLC,,,s,1965,    ,xx,eng,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,010 035 040 050 082 100 245 260 300 336 337 338 505 650 906 955 985 991
lc|:1223817,lc,1223817,,a,m, , ,,DLC,,,s,1965,    ,nyu,eng,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 050 082 100 245 250 260 300 336 337 338 504 650 906 955 991
lc|:9397609,lc,9397609,,a,m,1, ,,DLC,,,s,1965,    ,riu,eng,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 042 050 082 100 245 260 300 336 337 338 490 504 650 906 955 985 991
lc|:9874657,lc,9874657,,a,m,1,a,,DLC,,,s,1965,    ,enk,eng,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 015 035 040 050 082 100 245 250 260 300 336 337 338 504 650 906 955 985 991
lc|:8477455,lc,8477455,,a,m,u, ,,DLC,,,s,1965,    ,xx,spa,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 050 100 245 260 300 336 337 338 650 906 955 991
lc|:7064228,lc,7064228,,a,m,u, ,,DLC,,,s,1965,    ,xx,jpn,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 050 100 245 260 300 336 337 338 500 650 906 955 991
lc|:7530687,lc,7530687,,a,m,1, ,,DLC,,,s,1965,    ,xx,ara,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 042 050 100 245 260 300 336 337 338 490 504 650 906 955 985 991
lc|:8475557,lc,8475557,,a,m,1, ,,DLC,,,s,1965,    ,gw,ger,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 042 050 100 245 260 300 336 337 338 504 650 700 906 955 985 991
lc|:8468579,lc,8468579,,a,m,u, ,,DLC,,,s,1965,    ,xx,heb,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 050 051 100 245 260 300 336 337 338 500 650 710 906 952 955 984 985 991
lc|:6136794,lc,6136794,,a,m,u, ,,DLC,,,s,1965,    ,xx,heb,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,010 035 040 050 100 240 245 260 300 336 337 338 500 650 906 955 984 991
lc|:6594734,lc,6594734,,a,m,1, ,,DLC,,,s,1965,    ,is,rum,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,010 025 035 040 042 050 100 245 260 300 336 337 338 440 500 650 810 906 955 985 991 998
lc|:3165118,lc,3165118,,a,m,1, ,,DLC,,,s,1965,    ,dk,dan,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 043 050 100 245 250 260 300 336 337 338 500 650 906 955 991
lc|:10351395,lc,10351395,,a,m,u, ,,DLC,,,s,1965,    ,xx,ara,subject+year,judaica,1965,"dc.subject=""Jews"" and dc.date=1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,010 035 040 050 100 245 260 300 336 337 338 500 650 906 955 991
