catalog,query,draw_axis,draw_domain,draw_year,records_first_seen_here
dnb,MAT=books and JHR=1950,control,control,1950,50
dnb,MAT=books and JHR=1995,control,control,1995,50
dnb,MAT=books and JHR=2015,control,control,2015,50
dnb,SPR=heb and JHR=1900,language+year,judaica,1900,17
dnb,SPR=heb and JHR=1925,language+year,judaica,1925,50
dnb,SPR=heb and JHR=1950,language+year,judaica,1950,49
dnb,SPR=heb and JHR=1965,language+year,judaica,1965,6
dnb,SPR=heb and JHR=1980,language+year,judaica,1980,12
dnb,SPR=heb and JHR=1995,language+year,judaica,1995,50
dnb,SPR=heb and JHR=2005,language+year,judaica,2005,50
dnb,SPR=heb and JHR=2015,language+year,judaica,2015,50
dnb,SPR=heb and JHR=2022,language+year,judaica,2022,50
dnb,SPR=yid and JHR=1950,language+year,judaica,1950,9
dnb,SPR=yid and JHR=1995,language+year,judaica,1995,50
dnb,SPR=yid and JHR=2015,language+year,judaica,2015,19
dnb,SW=Judentum and JHR=1900,subject+year,judaica,1900,1
dnb,SW=Judentum and JHR=1925,subject+year,judaica,1925,5
dnb,SW=Judentum and JHR=1950,subject+year,judaica,1950,2
dnb,SW=Judentum and JHR=1965,subject+year,judaica,1965,6
dnb,SW=Judentum and JHR=1980,subject+year,judaica,1980,7
dnb,SW=Judentum and JHR=1995,subject+year,judaica,1995,50
dnb,SW=Judentum and JHR=2005,subject+year,judaica,2005,47
dnb,SW=Judentum and JHR=2015,subject+year,judaica,2015,50
dnb,SW=Judentum and JHR=2022,subject+year,judaica,2022,49
k10plus,pica.slw=Judentum and pica.jah=1900,subject+year,judaica,1900,50
k10plus,pica.slw=Judentum and pica.jah=1925,subject+year,judaica,1925,50
k10plus,pica.slw=Judentum and pica.jah=1950,subject+year,judaica,1950,49
k10plus,pica.slw=Judentum and pica.jah=1965,subject+year,judaica,1965,50
k10plus,pica.slw=Judentum and pica.jah=1980,subject+year,judaica,1980,50
k10plus,pica.slw=Judentum and pica.jah=1995,subject+year,judaica,1995,50
k10plus,pica.slw=Judentum and pica.jah=2005,subject+year,judaica,2005,50
k10plus,pica.slw=Judentum and pica.jah=2015,subject+year,judaica,2015,49
k10plus,pica.slw=Judentum and pica.jah=2022,subject+year,judaica,2022,49
k10plus,pica.slw=Physik and pica.jah=1950,control,control,1950,50
k10plus,pica.slw=Physik and pica.jah=1995,control,control,1995,50
k10plus,pica.slw=Physik and pica.jah=2015,control,control,2015,50
k10plus,pica.spr=heb and pica.jah=1900,language+year,judaica,1900,50
k10plus,pica.spr=heb and pica.jah=1925,language+year,judaica,1925,47
k10plus,pica.spr=heb and pica.jah=1950,language+year,judaica,1950,50
k10plus,pica.spr=heb and pica.jah=1965,language+year,judaica,1965,49
k10plus,pica.spr=heb and pica.jah=1980,language+year,judaica,1980,50
k10plus,pica.spr=heb and pica.jah=1995,language+year,judaica,1995,49
k10plus,pica.spr=heb and pica.jah=2005,language+year,judaica,2005,50
k10plus,pica.spr=heb and pica.jah=2015,language+year,judaica,2015,50
k10plus,pica.spr=heb and pica.jah=2022,language+year,judaica,2022,50
k10plus,pica.spr=yid and pica.jah=1950,language+year,judaica,1950,48
k10plus,pica.spr=yid and pica.jah=1995,language+year,judaica,1995,50
k10plus,pica.spr=yid and pica.jah=2015,language+year,judaica,2015,39
